plid,imgSrc,hasImage,detailUrl,statusType,statusText,price,address,minBeds,minBaths,minArea,lotId,latLong,variableData,badgeInfo,buildingName,buildingId,isBuilding,canSaveBuilding,has3DModel,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,timeOnZillow,unitCount,rentalMarketingSubType,marketingTreatments,zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,priceLabel,beds,baths,area,hdpData,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,hasVideo,visited,availabilityDate
44br94u0cbjgr,https://photos.zillowstatic.com/fp/8604939e21be9a7b6b9bf0b83acde4b7-p_e.jpg,True,/apartments/seattle-wa/studios-and-1-bedroom-apartments-in-capitol-hill!/CgyyV4/,FOR_RENT,Studios and 1 Bedroom Apartments in Capitol Hill!,"$1,625+/mo","433 Belmont Ave E, Seattle, WA",1.0,1.0,582.0,2738159202.0,"{'latitude': 47.622967, 'longitude': -122.324326}",{'type': 'TIME_ON_INFO'},"{'type': 'UNIT_AVAILABILITY', 'text': 'Unit availability'}",Studios and 1 Bedroom Apartments in Capitol Hill!,47.622967--122.324326,True,True,False,False,False,True,False,,False,3236646000,2.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremium']",,,,,,,,,,,,,,,,
5017fd2395rh6,https://photos.zillowstatic.com/fp/9450c77d580d4bd4e51a38acb139b1ad-p_e.jpg,True,/apartments/seattle-wa/neptune-slu-apartments-seattle/5XjRLP/,FOR_RENT,Neptune SLU Apartments Seattle,"$2,345+/mo","912 Dexter Ave N, Seattle, WA",1.0,1.0,482.0,1001479512.0,"{'latitude': 47.62766, 'longitude': -122.3417}","{'type': '3D_HOME', 'text': '3D Tour'}","{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Neptune SLU Apartments Seattle,47.62766--122.3417,True,True,True,False,False,True,False,,False,171600000,14.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",,,,,,,,,,,,,,,,
,https://photos.zillowstatic.com/fp/3807739c0a0c86fc08a8abb2e6a89190-p_e.jpg,True,/apartments/seattle-wa/sealth-vista/5bFT6S/,FOR_RENT,Apartment for rent,"$1,695+/mo","203 Belmont Ave E, Seattle, WA 98102",,,,,"{'latitude': 47.61985, 'longitude': -122.32438}","{'type': 'TIME_ON_INFO', 'data': {'isRead': None, 'isFresh': False}}",,,,,,False,False,False,True,False,,False,4064790000,,unknown,"['trustedListing', 'paid', 'zillowRentalManager', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyBasePackage']",443219908,ForRent,For Rent,$1.7K,1.0,1.0,475.0,"{'homeInfo': {'zpid': 443219908, 'streetAddress': '203 Belmont Ave E #1B-1BA-400SQFT', 'zipcode': '98102', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.61985, 'longitude': -122.32438, 'price': 1695.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 475.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1695.0, 'timeOnZillow': 4064790000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 1B-1Ba-400Sqft', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,False,
,https://photos.zillowstatic.com/fp/1bacc2fdf702c6f9b63d5b0c37367a80-p_e.jpg,True,/apartments/seattle-wa/summit-apartments/5XjHx6/,FOR_RENT,Apartment for rent,"$1,575/mo","733 Summit Ave E APT 110, Seattle, WA 98102",,,,,"{'latitude': 47.62591, 'longitude': -122.32581}","{'type': 'TIME_ON_INFO', 'data': {'isRead': None, 'isFresh': False}}",,,,,,False,False,False,True,False,,False,4253125000,,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyBasePackage']",2061871701,ForRent,For Rent,$1.6K,1.0,1.0,560.0,"{'homeInfo': {'zpid': 2061871701, 'streetAddress': '733 Summit Ave E APT 110', 'zipcode': '98102', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.62591, 'longitude': -122.32581, 'price': 1575.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 560.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 1653, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1575.0, 'timeOnZillow': 4253125000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 110', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,False,
pq11yxty2jnq,https://photos.zillowstatic.com/fp/25f78b5b8bd341297c754f8ca0f0c456-p_e.jpg,True,/apartments/seattle-wa/juxt/62yDRv/,FOR_RENT,JUXT,"$2,205+/mo","810 Dexter Ave N, Seattle, WA",1.0,1.0,578.0,1135455582.0,"{'latitude': 47.626713, 'longitude': -122.34167}","{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}","{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",JUXT,47.626713--122.34167,True,True,False,False,False,True,False,,False,115183000,20.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremium']",,,,,,,,,,,,,,,,
4audw5jh7mz5m,https://photos.zillowstatic.com/fp/aa142bf87637a4814e92fbd2955d87ba-p_e.jpg,True,/apartments/seattle-wa/oslo/9VWLQf/,FOR_RENT,Oslo,"$1,999+/mo","323 Bellevue Ave E, Seattle, WA",1.0,1.0,422.0,2118662620.0,"{'latitude': 47.62149, 'longitude': -122.32678}",{'type': 'TIME_ON_INFO'},"{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Oslo,47.62149--122.32678,True,True,False,False,False,True,False,,False,2188180000,5.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",,,,,,,,,,,,,,,,
4v737s9szuqzw,https://photos.zillowstatic.com/fp/bb988c512200da4d0c7d669e8d1509a4-p_e.jpg,True,/apartments/seattle-wa/one-lakefront/CghmRR/,FOR_RENT,One Lakefront,"$2,057+/mo","1287 Westlake Ave N, Seattle, WA",1.0,1.0,520.0,2736605627.0,"{'latitude': 47.63211, 'longitude': -122.34119}","{'type': '3D_HOME', 'text': '3D Tour'}","{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",One Lakefront,47.63211--122.34119,True,True,True,False,False,True,False,,False,171197000,19.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremium']",,,,,,,,,,,,,,,,
4g2ygms3jrz9m,https://photos.zillowstatic.com/fp/1031ef608b02cdfb2782387e61325d77-p_e.jpg,True,/apartments/seattle-wa/5th-and-mercer/9VWkcD/,FOR_RENT,5th and Mercer,"$1,750+/mo","605 5th Ave N, Seattle, WA",1.0,1.0,510.0,2118711108.0,"{'latitude': 47.6249, 'longitude': -122.348114}",{'type': 'TIME_ON_INFO'},"{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",5th and Mercer,47.6249--122.348114,True,True,False,False,False,True,False,,False,1639569000,4.0,unknown,"['trustedListing', 'paid', 'zillowRentalManager', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyBasePackage']",,,,,,,,,,,,,,,,
3064m6t9z4y0e,https://photos.zillowstatic.com/fp/f2ceae43798967a25104edb92431517c-p_e.jpg,True,/apartments/seattle-wa/624-yale-apartments/9VWkdH/,FOR_RENT,624 Yale Apartments,"$2,040+/mo","624 Yale Ave N, Seattle, WA",1.0,1.0,591.0,2118711160.0,"{'latitude': 47.62492, 'longitude': -122.33042}","{'type': '3D_HOME', 'text': '3D Tour'}","{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",624 Yale Apartments,47.62492--122.33042,True,True,True,False,False,True,False,,False,4402861000,17.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",,,,,,,,,,,,,,,,
,https://photos.zillowstatic.com/fp/ab239121e0f2018fd1489f723d78e06e-p_e.jpg,True,/apartments/seattle-wa/carlyle-apartments-capitol-hill-seattle/5hY5C7/,FOR_RENT,Apartment for rent,"$1,695/mo","320 Summit Ave E APT 4, Seattle, WA 98102",,,,,"{'latitude': 47.62151, 'longitude': -122.32502}","{'type': 'TIME_ON_INFO', 'text': '15 days ago', 'data': {'isRead': None, 'isFresh': False}}",,,,,,False,False,False,True,False,,False,1353101000,,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",2085306009,ForRent,For Rent,$1.7K,1.0,1.0,600.0,"{'homeInfo': {'zpid': 2085306009, 'streetAddress': '320 Summit Ave E APT 4', 'zipcode': '98102', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.62151, 'longitude': -122.32502, 'price': 1695.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 600.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 1653, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1695.0, 'timeOnZillow': 1353101000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 4', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,False,2025-01-09 00:00:00
1t87ab5hbnfvc,https://photos.zillowstatic.com/fp/210d1706464042ff721302e218cc8b94-p_e.jpg,True,/apartments/seattle-wa/sitka/CgGp8z/,FOR_RENT,Sitka,"$2,467+/mo","1255 Harrison St, Seattle, WA",1.0,1.0,576.0,2734021443.0,"{'latitude': 47.621845, 'longitude': -122.33109}","{'type': 'TIME_ON_INFO', 'text': 'Updated today'}","{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Sitka,47.621845--122.33109,True,True,False,False,False,True,False,,False,29634000,26.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPayPerLease']",,,,,,,,,,,,,,,,
,https://photos.zillowstatic.com/fp/02a5d0c9cf37708dfa3667a75c1f989c-p_e.jpg,True,/apartments/seattle-wa/summit-view/5jF2ny/,FOR_RENT,Apartment for rent,"$1,800/mo","745 Summit Ave E APT 205, Seattle, WA 98102",,,,,"{'latitude': 47.626427, 'longitude': -122.325714}","{'type': 'TIME_ON_INFO', 'data': {'isRead': None, 'isFresh': False}}",,,,,,False,False,False,True,False,,False,11517763000,,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyBasePackage']",2091750195,ForRent,For Rent,$1.8K,1.0,1.0,640.0,"{'homeInfo': {'zpid': 2091750195, 'streetAddress': '745 Summit Ave E APT 205', 'zipcode': '98102', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.626427, 'longitude': -122.325714, 'price': 1800.0, 'datePriceChanged': 1730271600000, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 640.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 1808, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1800.0, 'priceChange': 105, 'timeOnZillow': 11517763000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 205', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,False,
39ep497ga8j3f,https://photos.zillowstatic.com/fp/2e8426752573252599152a262b204fba-p_e.jpg,True,/apartments/seattle-wa/radius/62pRyW/,FOR_RENT,Radius,"$1,942+/mo","400 Boren Ave N, Seattle, WA",1.0,1.0,516.0,1134542056.0,"{'latitude': 47.622696, 'longitude': -122.33548}","{'type': '3D_HOME', 'text': '3D Tour'}","{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Radius,47.622696--122.33548,True,True,True,False,False,True,False,,False,1465367000,12.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPayPerLease']",,,,,,,,,,,,,,,,
,https://photos.zillowstatic.com/fp/0a2c13492ff7509b0ed63a79fa31c1a9-p_e.jpg,True,/apartments/seattle-wa/belroy/5XjVQx/,FOR_RENT,Apartment for rent,"$3,295/mo","703 Bellevue Ave E #601, Seattle, WA 98102",,,,,"{'latitude': 47.625244, 'longitude': -122.326866}","{'type': 'TIME_ON_INFO', 'text': '14 days ago', 'data': {'isRead': None, 'isFresh': False}}",,,,,,False,False,False,True,False,,False,1292331000,,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily']",2063228899,ForRent,For Rent,$3.3K,1.0,1.0,848.0,"{'homeInfo': {'zpid': 2063228899, 'streetAddress': '703 Bellevue Ave E #601', 'zipcode': '98102', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.625244, 'longitude': -122.326866, 'price': 3295.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 848.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 2119, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 3295.0, 'timeOnZillow': 1292331000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 601', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,False,2025-02-15 00:00:00
r9wgujsfaex,https://photos.zillowstatic.com/fp/604ca38096b161ec75e50a5b7ce6f7f6-p_e.jpg,True,/apartments/seattle-wa/amli-535/5XjV3z/,FOR_RENT,AMLI 535,"$2,375+/mo","535 Pontius Ave N, Seattle, WA",1.0,1.0,595.0,1001486009.0,"{'latitude': 47.623688, 'longitude': -122.33207}","{'type': '3D_HOME', 'text': '3D Tour'}","{'type': 'UNIT_AVAILABILITY', 'text': 'Unit availability'}",AMLI 535,47.623688--122.33207,True,True,True,False,False,True,False,,False,159998000,12.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",,,,,,,,,,,,,,,,
4y8nkqw1jr8q9,https://photos.zillowstatic.com/fp/ed9e7bea4c8268acc6c41e892732ab54-p_e.jpg,True,/apartments/seattle-wa/marlowe/ChGjpN/,FOR_RENT,Marlowe,"$2,468+/mo","1146 Harrison St, Seattle, WA",1.0,1.0,601.0,2739778227.0,"{'latitude': 47.6223, 'longitude': -122.33484}","{'type': '3D_HOME', 'text': '3D Tour'}","{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Marlowe,47.6223--122.33484,True,True,True,False,False,True,False,,False,112560000,4.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPayPerLease']",,,,,,,,,,,,,,,,
ckpdybr0tzvu,https://photos.zillowstatic.com/fp/8d43cc986e239fea0f1da04f0f535fb7-p_e.jpg,True,/apartments/seattle-wa/true-north/5XjKTP/,FOR_RENT,True North,"$1,946+/mo","801 Dexter Ave N, Seattle, WA",1.0,1.0,506.0,1001465449.0,"{'latitude': 47.62674, 'longitude': -122.34254}","{'type': '3D_HOME', 'text': '3D Tour'}","{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",True North,47.62674--122.34254,True,True,True,False,False,True,False,,False,1897997000,19.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremium']",,,,,,,,,,,,,,,,
