Dist,providerListingId,detailUrl,address,addressStreet,addressCity,addressState,addressZipcode,latLong,buildingName,isBuilding,availabilityCount,isInstantTourEnabled,countryCurrency,price,unformattedPrice,isUndisclosedAddress,beds,baths,area,availabilityDate,latitude,longitude,crime_cnt_2b,safety_pr,nearest_supermarket,nearest_supermarket_distance_meters,supermarket_duration_seconds,supermarket_commute_fare,supermarket_location,nearest_park,nearest_park_distance_meters,nearest_park_seconds,park_commute_fare,park_location,office_trans_dist_car,office_trans_duration_car,office_trans_cost_car,office_trans_dist_transit,office_trans_duration_transit,office_trans_cost_transit,school_trans_dist_car,school_trans_duration_car,school_trans_cost_car,school_trans_dist_transit,school_trans_duration_transit,school_trans_cost_transit
Queen,wtb1vpqab0up,https://www.zillow.com/homedetails/2827-14th-Ave-W-APT-2-Seattle-WA-98119/2089656337_zpid/,"2827 14th Ave W APT 2, Seattle, WA 98119",2827 14th Ave W APT 2,Seattle,WA,98119,"{'latitude': 47.64562, 'longitude': -122.37525}",,,,,$,2395,2395.0,False,3.0,2.0,860.0,2025-03-03 00:00:00,47.64562,-122.37525,2,86.57243816254417,Safeway,1493,1272,,,,,,,,5676,777,,6993,1946,,6589,980,,8487,2079,
Queen,218kkx2hsn8qc,https://www.zillow.com/b/2601-2603-2607-14th-ave-w-seattle-wa-9VXK64/,"2601 - 2603 - 2607 14th Ave W, 2601 14th Ave W #1B-1BA-750SQFT, Seattle, WA 98119",2601 14th Ave W #1B-1BA-750SQFT,Seattle,WA,98119,"{'latitude': 47.643173, 'longitude': -122.37513}",,,,,$,2100,2100.0,False,1.0,1.0,750.0,,47.643173,-122.37513,5,50.918727915194346,Whole Foods Market,374,311,,,,,,,,5948,822,,7172,2131,,6861,1024,,8666,2264,
Queen,2cw7etr06ktr1,https://www.zillow.com/b/equinox-building-seattle-wa-5XyJ7G/,"Equinox Building, 711 N 35th St APT 103, Seattle, WA 98103",711 N 35th St APT 103,Seattle,WA,98103,"{'latitude': 47.650238, 'longitude': -122.34934}",,,,,$,1950,1950.0,False,1.0,1.0,605.0,2025-01-11 00:00:00,47.650238,-122.34934,5,50.918727915194346,Whole Foods Market,1001,897,,,,,,,,4740,568,,3599,957,,3556,571,,4623,1309,
Queen,39y96dpx6e5uf,https://www.zillow.com/homedetails/509-4th-Ave-W-304-Seattle-WA-98119/2057219752_zpid/,"509 4th Ave W #304, Seattle, WA 98119",509 4th Ave W #304,Seattle,WA,98119,"{'latitude': 47.62363, 'longitude': -122.36229}",,,,,$,1650,1650.0,False,1.0,1.0,900.0,2025-01-31 00:00:00,47.62363,-122.36229,10,12.402826855123678,Whole Foods Market,414,348,,,,,,,,2219,532,,4150,1560,,7398,998,,11353,2525,
Queen,59xbmm40jx2km,https://www.zillow.com/homedetails/2560-Westlake-Ave-N-118-Seattle-WA-98109/2055468028_zpid/,"2560 Westlake Ave N #118, Seattle, WA 98109",2560 Westlake Ave N #118,Seattle,WA,98109,"{'latitude': 47.643303, 'longitude': -122.344246}",,,,,$,1800,1800.0,False,1.0,1.0,300.0,,47.643303,-122.344246,1,96.18374558303888,Trader Joe's,1818,1836,,,,,,,,2575,374,,3495,1160,,4532,675,,5880,2035,
Queen,16etpk358ek4k,https://www.zillow.com/homedetails/1524-2nd-Ave-W-B-Seattle-WA-98119/352064450_zpid/,"1524 2nd Ave W #B, Seattle, WA 98119",1524 2nd Ave W #B,Seattle,WA,98119,"{'latitude': 47.63313, 'longitude': -122.359276}",,,,,$,3900,3900.0,False,2.0,1.0,950.0,,47.63313,-122.359276,1,96.18374558303888,Safeway,315,331,,,,,,,,2796,606,,4798,1813,,6812,924,,11909,2641,
Queen,2sbtjgyyt7y2z,/apartments/seattle-wa/astro-apartments/Ch5fCx/,"315 1st Ave N, Seattle, WA",315 1st Ave  N  # 421,Seattle,WA,98109,"{'latitude': 47.621513, 'longitude': -122.35574}",Astro Apartments,True,11.0,True,,2000,,,1.0,,,,47.621513,-122.35574,8,23.356890459363957,Whole Foods Market,1637,607,,,,,,,,1922,430,,2538,1134,,7101,895,,11957,2638,
Queen,518d54bhms04a,/apartments/seattle-wa/the-waterway-building/ChWxYB/,"106 N 36th St, Seattle, WA",106 N  36th St # 308,Seattle,WA,98103,"{'latitude': 47.653152, 'longitude': -122.357315}",The Waterway Building,True,2.0,False,,2245,,,1.0,,,,47.653152,-122.357315,5,50.918727915194346,Safeway,1400,621,,,,,,,,5014,620,,4227,1024,,4153,691,,5218,1809,
Queen,3rn676jgspvhr,/apartments/seattle-wa/clarendon/9VWjLR/,"105 Warren Ave N, Seattle, WA",105 Warren Ave  N  # 514,Seattle,WA,98109,"{'latitude': 47.61876, 'longitude': -122.35452}",Clarendon,True,4.0,False,,2175,,,1.0,,,,47.61876,-122.35452,13,3.957597173144876,Whole Foods Market,717,625,,,,,,,,1879,448,,1812,941,,8118,950,,9720,1814,
Queen,utfwpd18cjva,/apartments/seattle-wa/306-queen-anne/5hz6kr/,"306 Queen Anne Ave N, Seattle, WA",306 Queen Anne Ave  N  # 102,Seattle,WA,98109,"{'latitude': 47.621277, 'longitude': -122.35636}",306 Queen Anne,True,2.0,False,,1895,,,1.0,,,,47.621277,-122.35636,9,17.73851590106007,Whole Foods Market,909,748,,,,,,,,1997,496,,2403,1031,,7176,961,,10415,2108,
