plid,imgSrc,hasImage,detailUrl,statusType,statusText,price,address,minBeds,minBaths,minArea,lotId,latLong,variableData,buildingName,buildingId,isBuilding,canSaveBuilding,has3DModel,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,timeOnZillow,unitCount,rentalMarketingSubType,marketingTreatments,zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,priceLabel,beds,baths,area,hdpData,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,hasVideo,availabilityDate,visited,badgeInfo
,https://photos.zillowstatic.com/fp/7c4f1951e486c206e9b9185d9ae2dea9-p_e.jpg,True,/apartments/seattle-wa/howard-park-apartments/5XkBFm/,FOR_RENT,Apartment for rent,"$1,795/mo","4218 Stone Way N APT 408, Seattle, WA 98103",,,,,"{'latitude': 47.658607, 'longitude': -122.341896}","{'type': 'TIME_ON_INFO', 'data': {'isRead': None, 'isFresh': False}}",,,,,False,False,False,True,False,,False,3972158000,,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",2071199262,ForRent,For Rent,$1.8K,1.0,1.0,537.0,"{'homeInfo': {'zpid': 2071199262, 'streetAddress': '4218 Stone Way N APT 408', 'zipcode': '98103', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.658607, 'longitude': -122.341896, 'price': 1795.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 537.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 1920, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1795.0, 'timeOnZillow': 3972158000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 408', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,2025-02-10 00:00:00,False,
23kkrdnxwc3re,https://photos.zillowstatic.com/fp/819149b9a9a1827c4178176179e17ab3-p_e.jpg,True,/apartments/seattle-wa/prescott-wallingford-apartments/5XkGQ8/,FOR_RENT,Prescott Wallingford Apartments,"$1,868+/mo","3920 Stone Way N, Seattle, WA",1.0,1.0,545.0,1001575735.0,"{'latitude': 47.654808, 'longitude': -122.34215}","{'type': '3D_HOME', 'text': '3D Tour'}",Prescott Wallingford Apartments,47.654808--122.34215,True,True,True,False,False,True,False,,False,38037618000,11.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPayPerLease']",,,,,,,,,,,,,,,,,"{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}"
rkp06dgme54k,https://photos.zillowstatic.com/fp/cabb9611dec85624d5630232221ac700-p_e.jpg,True,/apartments/seattle-wa/koi/5XjRLb/,FOR_RENT,Koi,"$2,220+/mo","1139 NW Market St, Seattle, WA",1.0,1.0,600.0,1001479522.0,"{'latitude': 47.66839, 'longitude': -122.372215}",{'type': 'TIME_ON_INFO'},Koi,47.66839--122.372215,True,True,False,False,False,True,False,,False,1324931000,5.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily']",,,,,,,,,,,,,,,,,"{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}"
4r8m44rvr6w18,https://photos.zillowstatic.com/fp/abed49ad1b21ff308153804bf8288705-p_e.jpg,True,/apartments/seattle-wa/mirabella/5jGCKQ/,FOR_RENT,Mirabella,"$2,045+/mo","4250 Aurora Ave N, Seattle, WA",1.0,1.0,560.0,1050627934.0,"{'latitude': 47.65949, 'longitude': -122.34696}","{'type': '3D_HOME', 'text': '3D Tour'}",Mirabella,47.65949--122.34696,True,True,True,False,False,True,False,,False,8741049000,14.0,unknown,"['trustedListing', 'paid', 'zillowRentalManager', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremium']",,,,,,,,,,,,,,,,,"{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}"
3t8ww72xm0kju,https://photos.zillowstatic.com/fp/79b871f98066163019597d1144b2fef9-p_e.jpg,True,/apartments/seattle-wa/eclipse-fremont-apartments/ChFLnT/,FOR_RENT,Eclipse Fremont Apartments,"$1,449+/mo","909 N 39th St, Seattle, WA",1.0,1.0,406.0,2739614915.0,"{'latitude': 47.654022, 'longitude': -122.34675}","{'type': '3D_HOME', 'text': '3D Tour'}",Eclipse Fremont Apartments,47.654022--122.34675,True,True,True,False,False,True,False,,False,778971000,10.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",,,,,,,,,,,,,,,,,"{'type': 'UNIT_AVAILABILITY', 'text': 'Unit availability'}"
,https://photos.zillowstatic.com/fp/e0511bfc12b7eaee0bccd8f18a3f2651-p_e.jpg,True,/apartments/seattle-wa/gracey-apartments/5YCD7L/,FOR_RENT,Apartment for rent,"$1,895/mo","201 NW 39th St APT 207, Seattle, WA 98107",,,,,"{'latitude': 47.653954, 'longitude': -122.35925}","{'type': 'TIME_ON_INFO', 'text': '28 days ago', 'data': {'isRead': None, 'isFresh': False}}",,,,,False,False,False,True,False,,False,2491299000,,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyBasePackage']",2096864426,ForRent,For Rent,$1.9K,2.0,1.0,700.0,"{'homeInfo': {'zpid': 2096864426, 'streetAddress': '201 NW 39th St APT 207', 'zipcode': '98107', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.653954, 'longitude': -122.35925, 'price': 1895.0, 'bathrooms': 1.0, 'bedrooms': 2.0, 'livingArea': 700.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 2237, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1895.0, 'timeOnZillow': 2491299000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 207', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,2025-01-01 00:00:00,False,
4vkfv6uujagk,https://photos.zillowstatic.com/fp/f468fbac561d938d8638788b9c1e734a-p_e.jpg,True,/apartments/seattle-wa/fremont-view-modern-classic-collection/Ch7VSL/,FOR_RENT,Fremont View: Modern Classic Collection,"$1,795+/mo","520 N 39th St, Seattle, WA",1.0,1.0,418.0,2738927438.0,"{'latitude': 47.654263, 'longitude': -122.35177}","{'type': '3D_HOME', 'text': '3D Tour'}",Fremont View: Modern Classic Collection,47.654263--122.35177,True,True,True,False,False,True,False,,False,6379185000,3.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyBasePackage']",,,,,,,,,,,,,,,,,"{'type': 'UNIT_AVAILABILITY', 'text': 'Unit availability'}"
1ysj000uw145r,https://photos.zillowstatic.com/fp/3b6815d3c7a902d9c1b308876f458377-p_e.jpg,True,/apartments/seattle-wa/wharfside-pointe/CgrBYW/,FOR_RENT,Wharfside Pointe,"$1,754+/mo","3827 14th Ave W, Seattle, WA",1.0,1.0,638.0,2737359839.0,"{'latitude': 47.654415, 'longitude': -122.374954}","{'type': '3D_HOME', 'text': '3D Tour'}",Wharfside Pointe,47.654415--122.374954,True,True,True,False,False,True,False,,False,1520039000,8.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyBasePackage']",,,,,,,,,,,,,,,,,"{'type': 'UNIT_AVAILABILITY', 'text': 'Unit availability'}"
2jfrnf6tjpm6w,https://photos.zillowstatic.com/fp/3f9cad51dfc8b82f77afd1c070f622eb-p_e.jpg,True,/apartments/seattle-wa/watermarke-apts./5XjW63/,FOR_RENT,Watermarke Apts.,"$1,895+/mo","4213 Stone Way N, Seattle, WA",1.0,1.0,719.0,1001488510.0,"{'latitude': 47.658752, 'longitude': -122.34274}",{'type': 'TIME_ON_INFO'},Watermarke Apts.,47.658752--122.34274,True,True,False,False,False,True,False,,False,1258725000,2.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyBasePackage']",,,,,,,,,,,,,,,,,"{'type': 'UNIT_AVAILABILITY', 'text': 'Unit availability'}"
,https://photos.zillowstatic.com/fp/e858b25ef2978defe499cb6aa0be8395-p_e.jpg,True,/apartments/seattle-wa/nature's-haven-rooftop-views-walk-to-park-and-beach!/Cj8LL6/,FOR_RENT,Apartment for rent,"$1,650/mo","2833-2839 NW 56th St #211, Seattle, WA 98107",,,,,"{'latitude': 47.669426, 'longitude': -122.36745}","{'type': 'TIME_ON_INFO', 'data': {'isRead': None, 'isFresh': False}}",,,,,False,False,False,True,False,,False,4022715000,,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyBasePackage']",443230668,ForRent,For Rent,$1.7K,1.0,1.0,572.0,"{'homeInfo': {'zpid': 443230668, 'streetAddress': '2833-2839 NW 56th St #211', 'zipcode': '98107', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.669426, 'longitude': -122.36745, 'price': 1650.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 572.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1650.0, 'timeOnZillow': 4022715000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 211', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,,False,
