,Year,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,MCPP,100 Block Address,Longitude,Latitude
931655,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,VIRGINIA ST / 3RD AVE,-122.340892454,47.61239802
931690,2022,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,THOMAS ST / PONTIUS AVE N,-122.331703786,47.62081714
931712,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,5XX BLOCK OF DEXTER AVE N,-122.342355426,47.62388673
931713,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,5XX BLOCK OF DEXTER AVE N,-122.342355426,47.62388673
931714,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,4XX BLOCK OF CEDAR ST,-122.347419907,47.618274
931735,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,4XX BLOCK OF 8TH AVE N,-122.341060913,47.62263512
931744,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,21XX BLOCK OF 7TH AVE,-122.339404062,47.61621007
931785,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,4XX BLOCK OF VINE ST,-122.346675348,47.61757583
931804,2022,A,PROPERTY,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,SLU/CASCADE,18XX BLOCK OF MINOR AVE,-122.331208693,47.617225
931869,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,3XX BLOCK OF CEDAR ST,-122.348468,47.617463
931883,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,5XX BLOCK OF VINE ST,-122.345805716,47.6182354
931896,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,5XX BLOCK OF MINOR AVE N,-122.333003305,47.62369234
931920,2022,A,PROPERTY,FRAUD OFFENSES,Wire Fraud,26E,SLU/CASCADE,5XX BLOCK OF WALL ST,-122.344882,47.617689
931935,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,3XX BLOCK OF BROAD ST,-122.3496067,47.61916268
931953,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,3XX BLOCK OF 9TH AVE N,-122.339764556,47.62146252
932013,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,12XX BLOCK OF HARRISON ST,-122.332352257,47.62197081
932014,2022,A,PROPERTY,FRAUD OFFENSES,Identity Theft,26F,SLU/CASCADE,12XX BLOCK OF HARRISON ST,-122.332352257,47.62197081
932020,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,25XX BLOCK OF 3RD AVE,-122.347496,47.616302
932045,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,25XX BLOCK OF 4TH AVE,-122.3466378,47.61696696
932046,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,12XX BLOCK OF EASTLAKE AVE E,-122.326713087,47.63139748
932068,2022,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,20XX BLOCK OF 4TH AVE,-122.340683,47.61344689
932154,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,2XX BLOCK OF 8TH AVE N,-122.341081499,47.62029929
932174,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,4XX BLOCK OF BLANCHARD ST,-122.3422045,47.61493269
932192,2022,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SLU/CASCADE,18XX BLOCK OF MINOR AVE,-122.331208693,47.617225
932201,2022,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,4XX BLOCK OF MINOR AVE N,-122.332996526,47.62254475
932219,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,HARRISON ST / 5TH AVE N,-122.347591845,47.62207493
932220,2022,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,6XX BLOCK OF YALE AVE N,-122.3305621,47.62463779
932224,2022,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,6XX BLOCK OF EASTLAKE AVE E,-122.329165357,47.62469961
932225,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,6XX BLOCK OF EASTLAKE AVE E,-122.329165357,47.62469961
932263,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,4XX BLOCK OF BLANCHARD ST,-122.3422045,47.61493269
932278,2022,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SLU/CASCADE,3XX BLOCK OF BLANCHARD ST,-122.343064,47.614268
932288,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,4XX BLOCK OF WESTLAKE AVE N,-122.338450991,47.62262519
932289,2022,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,4XX BLOCK OF WESTLAKE AVE N,-122.338450991,47.62262519
932335,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,25XX BLOCK OF 4TH AVE,-122.3466378,47.61696696
932345,2022,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,18XX BLOCK OF YALE AVE,-122.330349,47.61788922
932350,2022,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,SLU/CASCADE,20XX BLOCK OF 5TH AVE,-122.339823613,47.61411132
932416,2022,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,23XX BLOCK OF 3RD AVE,-122.345443945,47.61508874
932420,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,5XX BLOCK OF MERCER ST,-122.3469186,47.62455977
932438,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,3XX BLOCK OF DENNY WAY,-122.349640254,47.61857911
932461,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,20XX BLOCK OF 7TH AVE,-122.3382951,47.61555441
932548,2022,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SLU/CASCADE,18XX BLOCK OF MINOR AVE,-122.331208693,47.617225
932561,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,REPUBLICAN ST / 5TH AVE N,-122.347582561,47.62324273
933589,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,1XX BLOCK OF TERRY AVE N,-122.337160587,47.61911361
933614,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,LENORA ST / 5TH AVE,-122.340473673,47.61449557
933615,2022,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,SLU/CASCADE,LENORA ST / 5TH AVE,-122.340473673,47.61449557
933624,2022,A,PROPERTY,FRAUD OFFENSES,Identity Theft,26F,SLU/CASCADE,1XX BLOCK OF TERRY AVE N,-122.337160587,47.61911361
933629,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,18XX BLOCK OF MINOR AVE,-122.331208693,47.617225
933651,2022,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,8XX BLOCK OF STEWART ST,-122.334865845,47.61528449
933666,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,2XX BLOCK OF 8TH AVE N,-122.341081499,47.62029929
933690,2022,A,PROPERTY,ROBBERY,Robbery,120,SLU/CASCADE,2XX BLOCK OF 5TH AVE N,-122.347606025,47.62032368
933724,2022,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,5XX BLOCK OF ROY ST,-122.345606459,47.62541564
933736,2022,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,4XX BLOCK OF YALE AVE N,-122.3304319,47.62254749
933744,2022,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,SLU/CASCADE,13XX BLOCK OF STEWART ST,-122.329773838,47.61922127
933773,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,4XX BLOCK OF LENORA ST,-122.3409034,47.61416338
933845,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,2XX BLOCK OF 6TH AVE N,-122.345007,47.620314
933865,2022,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,8XX BLOCK OF FAIRVIEW AVE N,-122.334203646,47.62613482
933880,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,MINOR AVE N / DENNY WAY,-122.332973044,47.61851315
933889,2022,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,5TH AVE N / BROAD ST,-122.347601312,47.62090802
933902,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,21XX BLOCK OF 6TH AVE,-122.340264673,47.61554493
933918,2022,A,PROPERTY,ROBBERY,Robbery,120,SLU/CASCADE,2XX BLOCK OF YALE AVE N,-122.3304204,47.62024434
933924,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,6XX BLOCK OF 6TH AVE N,-122.344956533,47.62506737
933938,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,2XX BLOCK OF YALE AVE N,-122.3304204,47.62024434
933946,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,4XX BLOCK OF YALE AVE N,-122.3304319,47.62254749
933981,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,22XX BLOCK OF 5TH AVE,-122.342424919,47.61564896
933996,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,6XX BLOCK OF 5TH AVE N,-122.34756792,47.62499221
934056,2022,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,23XX BLOCK OF 3RD AVE,-122.345443945,47.61508874
934073,2022,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,5XX BLOCK OF MERCER ST,-122.3469186,47.62455977
934177,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,5TH AVE N / HARRISON ST,-122.347591845,47.62207493
934181,2022,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,2XX BLOCK OF YALE AVE N,-122.3304204,47.62024434
934195,2022,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SLU/CASCADE,25XX BLOCK OF 4TH AVE,-122.3466378,47.61696696
934203,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,25XX BLOCK OF 4TH AVE,-122.3466378,47.61696696
934227,2022,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,4XX BLOCK OF MINOR AVE N,-122.332996526,47.62254475
934261,2022,A,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,SLU/CASCADE,22XX BLOCK OF 3RD AVE,-122.3441436,47.61432035
934282,2022,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,6XX BLOCK OF YALE AVE N,-122.3305621,47.62463779
934305,2022,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,4XX BLOCK OF 8TH AVE N,-122.341060913,47.62263512
934351,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,5XX BLOCK OF MERCER ST,-122.3469186,47.62455977
934369,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,2XX BLOCK OF PONTIUS AVE N,-122.331700196,47.62024125
934428,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,12XX BLOCK OF MERCER ST,-122.332366113,47.62427037
934455,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,12XX BLOCK OF HARRISON ST,-122.332352257,47.62197081
934466,2022,A,PROPERTY,COUNTERFEITING/FORGERY,Counterfeiting/Forgery,250,SLU/CASCADE,2XX BLOCK OF 6TH AVE N,-122.345007228,47.62031402
934497,2022,A,PROPERTY,ARSON,Arson,200,SLU/CASCADE,21XX BLOCK OF 6TH AVE,-122.340264673,47.61554493
934513,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,2XX BLOCK OF 9TH AVE N,-122.339773646,47.6202947
934530,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,4TH AVE / BELL ST,-122.343934408,47.61536891
934549,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,21XX BLOCK OF 3RD AVE,-122.3428432,47.61355147
934567,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,MERCER ST / PONTIUS AVE N,-122.331725486,47.62427205
934581,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,20XX BLOCK OF 4TH AVE,-122.340683008,47.61344689
934582,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,20XX BLOCK OF 4TH AVE,-122.340683008,47.61344689
934592,2022,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,25XX BLOCK OF 4TH AVE,-122.3466378,47.61696696
934637,2022,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,19XX BLOCK OF 9TH AVE,-122.33508605,47.61600093
934638,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,BOREN AVE / STEWART ST,-122.332718165,47.61694494
934651,2022,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,11XX BLOCK OF MERCER ST,-122.335058,47.624618
934652,2022,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SLU/CASCADE,11XX BLOCK OF MERCER ST,-122.335058,47.624618
934656,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,BATTERY ST / 3RD AVE,-122.346093652,47.61547345
934657,2022,A,PROPERTY,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,SLU/CASCADE,20XX BLOCK OF 5TH AVE,-122.339823613,47.61411132
934699,2022,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,3XX BLOCK OF DENNY WAY,-122.349640254,47.61857911
934717,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,JOHN ST / YALE AVE N,-122.330417397,47.61966845
934726,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,HARRISON ST / 5TH AVE N,-122.347591845,47.62207493
934733,2022,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SLU/CASCADE,4XX BLOCK OF MINOR AVE N,-122.332996526,47.62254475
934754,2022,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,4XX BLOCK OF MINOR AVE N,-122.332996526,47.62254475
934809,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,STEWART ST / MINOR AVE,-122.331858559,47.61760953
934820,2022,A,PROPERTY,FRAUD OFFENSES,Identity Theft,26F,SLU/CASCADE,2XX BLOCK OF PONTIUS AVE N,-122.331700196,47.62024125
934832,2022,A,PROPERTY,FRAUD OFFENSES,Identity Theft,26F,SLU/CASCADE,18XX BLOCK OF MINOR AVE,-122.331208693,47.617225
934857,2022,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SLU/CASCADE,1XX BLOCK OF WESTLAKE AVE N,-122.33847998,47.61911987
934866,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,11XX BLOCK OF REPUBLICAN ST,-122.3350548,47.62319598
934897,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,MINOR AVE N / HARRISON ST,-122.332993182,47.6219735
934910,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,8XX BLOCK OF VIRGINIA ST,-122.336165507,47.61605329
934921,2022,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,4XX BLOCK OF WALL ST,-122.345741181,47.6170232
934926,2022,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,4XX BLOCK OF DEXTER AVE N,-122.34236642,47.62263975
934947,2022,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,SLU/CASCADE,1XX BLOCK OF TAYLOR AVE N,-122.346311222,47.61915025
934949,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,5XX BLOCK OF PONTIUS AVE N,-122.33172195,47.62369581
934952,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,HOWELL ST / MINOR AVE,-122.330558852,47.61684047
934957,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,THOMAS ST / MINOR AVE N,-122.332986391,47.62081361
934960,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,25XX BLOCK OF 5TH AVE,-122.345778726,47.61763207
934990,2022,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,8TH AVE N / REPUBLICAN ST,-122.341055563,47.62321894
935007,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,1XX BLOCK OF TAYLOR AVE N,-122.346311222,47.61915025
935030,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,21XX BLOCK OF 3RD AVE,-122.3428432,47.61355147
935036,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,5XX BLOCK OF PONTIUS AVE N,-122.33172195,47.62369581
935098,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,3XX BLOCK OF CEDAR ST,-122.348468,47.617463
935106,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,12XX BLOCK OF HARRISON ST,-122.332352257,47.62197081
935124,2022,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,SLU/CASCADE,DENNY WAY / 4TH AVE,-122.348925201,47.61857627
935125,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,WESTLAKE AVE / DENNY WAY,-122.338484568,47.61853427
935132,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,11XX BLOCK OF OLIVE WAY,-122.33017472,47.6156818
935138,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,6XX BLOCK OF 5TH AVE N,-122.347568,47.624992
935162,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,20XX BLOCK OF 8TH AVE,-122.337244415,47.6161057
935236,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,4XX BLOCK OF FAIRVIEW AVE N,-122.334276732,47.62258111
935246,2022,A,PROPERTY,ROBBERY,Robbery,120,SLU/CASCADE,3XX BLOCK OF 8TH AVE N,-122.341071363,47.62146761
935251,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,1XX BLOCK OF EASTLAKE AVE E,-122.329131555,47.61912473
935421,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,16XX BLOCK OF FAIRVIEW AVE E,-122.326922746,47.63436276
935481,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,2XX BLOCK OF 8TH AVE N,-122.341081499,47.62029929
935486,2022,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,2XX BLOCK OF YALE AVE N,-122.3304204,47.62024434
935535,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,2XX BLOCK OF YALE AVE N,-122.330420403,47.62024434
935585,2022,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,22XX BLOCK OF WESTLAKE AVE,-122.338451686,47.61833048
935626,2022,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SLU/CASCADE,23XX BLOCK OF 3RD AVE,-122.3454439,47.61508874
935639,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,5XX BLOCK OF MINOR AVE N,-122.333003305,47.62369234
935684,2022,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,20XX BLOCK OF 5TH AVE,-122.339823613,47.61411132
935705,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,20XX BLOCK OF TERRY AVE,-122.335527117,47.6174338
935706,2022,A,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,SLU/CASCADE,20XX BLOCK OF TERRY AVE,-122.335527117,47.6174338
935751,2022,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,15XX BLOCK OF FAIRVIEW AVE E,-122.326933703,47.63288034
935753,2022,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,SLU/CASCADE,5TH AVE N / MERCER ST,-122.347571015,47.62456148
935783,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,19XX BLOCK OF WESTLAKE AVE,-122.337653877,47.61438941
935805,2022,A,PROPERTY,FRAUD OFFENSES,Identity Theft,26F,SLU/CASCADE,8XX BLOCK OF VIRGINIA ST,-122.336165507,47.61605329
935826,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,20XX BLOCK OF 9TH AVE,-122.336385859,47.61676979
935831,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,6XX BLOCK OF 3RD AVE N,-122.351483825,47.62500382
935832,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,6XX BLOCK OF 3RD AVE N,-122.351483825,47.62500382
935833,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,1XX BLOCK OF TERRY AVE N,-122.337160587,47.61911361
935857,2022,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,18XX BLOCK OF FAIRVIEW AVE E,-122.327604146,47.63595556
935878,2022,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,DENNY WAY / WESTLAKE AVE N,-122.338484568,47.61853427
935880,2022,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,SLU/CASCADE,BOREN AVE / FAIRVIEW AVE,-122.334251093,47.61785152
935896,2022,A,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,SLU/CASCADE,4TH AVE / VINE ST,-122.347104984,47.61724328
935897,2022,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,4TH AVE / VINE ST,-122.347104984,47.61724328
935943,2022,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,18XX BLOCK OF 9TH AVE,-122.3337941,47.61522435
935965,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,20XX BLOCK OF 4TH AVE,-122.340683,47.61344689
935985,2022,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,3XX BLOCK OF CEDAR ST,-122.348468,47.617463
936032,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,2XX BLOCK OF MINOR AVE N,-122.332983074,47.62023779
936060,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,5XX BLOCK OF EASTLAKE AVE E,-122.32916,47.623703
936145,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,18XX BLOCK OF BOREN AVE,-122.332067369,47.61655803
936197,2022,A,PROPERTY,ROBBERY,Robbery,120,SLU/CASCADE,6XX BLOCK OF DENNY WAY,-122.344328,47.61855857
936237,2022,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,12XX BLOCK OF REPUBLICAN ST,-122.332359146,47.62311779
936280,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,2XX BLOCK OF MINOR AVE N,-122.332983074,47.62023779
936309,2022,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,27XX BLOCK OF 4TH AVE,-122.348506,47.61807131
936313,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,7XX BLOCK OF FAIRVIEW AVE N,-122.334344369,47.62544473
936320,2022,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,SLU/CASCADE,4XX BLOCK OF 5TH AVE N,-122.347587201,47.62265884
