,Year,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,MCPP,100 Block Address,Longitude,Latitude
1100150,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,5XX BLOCK OF WALL ST,-122.344882,47.617689
1100205,2024,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,7XX BLOCK OF REPUBLICAN ST,-122.34170841,47.62322135
1100282,2023,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,11XX BLOCK OF HOWELL ST,-122.330990276,47.61650698
1100286,2023,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,22XX BLOCK OF 7TH AVE,-122.340704476,47.61697878
1100300,2023,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,22XX BLOCK OF 7TH AVE,-122.340704476,47.61697878
1100303,2023,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,5XX BLOCK OF WALL ST,-122.344882,47.617689
1100380,2024,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,8XX BLOCK OF FAIRVIEW AVE N,-122.334203646,47.62613482
1100392,2024,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,2XX BLOCK OF 8TH AVE N,-122.341081499,47.62029929
1100428,2024,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,FAIRVIEW AVE N / REPUBLICAN ST,-122.334279165,47.62316241
1100445,2024,A,PROPERTY,ARSON,Arson,200,SLU/CASCADE,5XX BLOCK OF MINOR AVE N,-122.333003305,47.62369234
1100467,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,11XX BLOCK OF REPUBLICAN ST,-122.333646875,47.62311893
1100546,2024,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,6TH AVE / OLIVE WAY,-122.336281834,47.61313012
1100597,2024,A,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,SLU/CASCADE,10XX BLOCK OF FAIRVIEW AVE N,-122.331849,47.62796758
1100598,2024,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,10XX BLOCK OF FAIRVIEW AVE N,-122.331849,47.62796758
1100634,2024,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,4XX BLOCK OF MINOR AVE N,-122.332996526,47.62254475
1100672,2024,A,PROPERTY,EMBEZZLEMENT,Embezzlement,270,SLU/CASCADE,18XX BLOCK OF BOREN AVE,-122.332067369,47.61655803
1100686,2024,A,PROPERTY,FRAUD OFFENSES,Identity Theft,26F,SLU/CASCADE,18XX BLOCK OF TERRY AVE,-122.332942,47.615885
1100745,2024,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,SLU/CASCADE,3XX BLOCK OF TERRY AVE N,-122.337156287,47.62145271
1100829,2024,A,PROPERTY,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,SLU/CASCADE,5XX BLOCK OF WALL ST,-122.344882,47.617689
1100846,2024,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,12XX BLOCK OF HARRISON ST,-122.331070174,47.62196996
1100857,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,5XX BLOCK OF DENNY WAY,-122.346968728,47.61856846
1100858,2024,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,5XX BLOCK OF DENNY WAY,-122.346968728,47.61856846
1100867,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,4XX BLOCK OF WALL ST,-122.345741181,47.6170232
1100878,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,5XX BLOCK OF YALE AVE N,-122.330439526,47.6236993
