Dist,providerListingId,imgSrc,hasImage,detailUrl,statusType,statusText,address,addressStreet,addressCity,addressState,addressZipcode,units,latLong,buildingName,isBuilding,canSaveBuilding,isFeaturedListing,isShowcaseListing,availabilityCount,isInstantTourEnabled,isContactable,rawHomeStatusCd,countryCurrency,price,unformattedPrice,isUndisclosedAddress,beds,baths,area,isZillowOwned,hdpData,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,hasVideo,isHomeRec,hasAdditionalAttributions,availabilityDate,zestimate,latitude,longitude,crime_cnt_2b,safety_pr
1. University District,2mc0bmdrqnp7u,https://photos.zillowstatic.com/fp/ef851a9b11e3a9f1a45337468e8919ef-p_e.jpg,True,https://www.zillow.com/homedetails/109-E-Lynn-St-Seattle-WA-98102/446233097_zpid/,FOR_RENT,Apartment for rent,"109 E Lynn St, Seattle, WA 98102",109 E Lynn St,Seattle,WA,98102,,"{'latitude': 47.639534, 'longitude': -122.32664}",,,,False,False,,,,ForRent,$,1695,1695.0,False,1.0,1.0,850.0,False,"{'homeInfo': {'zpid': 446233097, 'streetAddress': '109 E Lynn St', 'zipcode': '98102', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.639534, 'longitude': -122.32664, 'price': 1695.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 850.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': 1, 'isFeatured': False, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1695.0, 'timeOnZillow': 92005000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,False,False,2025-02-01 00:00:00,,47.639534,-122.32664,9,17.73851590106007
1. University District,uv347r4zb0rb,https://photos.zillowstatic.com/fp/a7774cda6196c27551960c47c6154043-p_e.jpg,True,https://www.zillow.com/homedetails/4129-11th-Ave-NE-604-Seattle-WA-98105/444705971_zpid/,FOR_RENT,Apartment for rent,"4129 11th Ave NE #604, Seattle, WA 98105",4129 11th Ave NE #604,Seattle,WA,98105,,"{'latitude': 47.657665, 'longitude': -122.31668}",,,,False,False,,,,ForRent,$,1750,1750.0,False,2.0,1.0,740.0,False,"{'homeInfo': {'zpid': 444705971, 'streetAddress': '4129 11th Ave NE #604', 'zipcode': '98105', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.657665, 'longitude': -122.31668, 'price': 1750.0, 'bathrooms': 1.0, 'bedrooms': 2.0, 'livingArea': 740.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': 8, 'isFeatured': False, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1750.0, 'timeOnZillow': 700880000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 604', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,False,False,2025-01-17 00:00:00,,47.657665,-122.31668,8,23.356890459363953
1. University District,2wa6br14g11d3,https://photos.zillowstatic.com/fp/1cf9704281bfe3253d84b15984175238-p_e.jpg,True,https://www.zillow.com/homedetails/5058-7th-Ave-NE-Seattle-WA-98105/48831089_zpid/,FOR_RENT,House for rent,"5058 7th Ave NE, Seattle, WA 98105",5058 7th Ave NE,Seattle,WA,98105,,"{'latitude': 47.66666, 'longitude': -122.32036}",,,,True,False,,,,ForRent,$,5600,5600.0,False,7.0,3.0,2710.0,False,"{'homeInfo': {'zpid': 48831089, 'streetAddress': '5058 7th Ave NE', 'zipcode': '98105', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.66666, 'longitude': -122.32036, 'price': 5600.0, 'bathrooms': 3.0, 'bedrooms': 7.0, 'livingArea': 2710.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_RENT', 'daysOnZillow': 22, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 1075600, 'rentZestimate': 4335, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 5600.0, 'timeOnZillow': 1963663000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 902000.0, 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,False,False,2025-08-10 00:00:00,1075600.0,47.66666,-122.32036,1,96.18374558303887
1. University District,3088qev8093zm,https://photos.zillowstatic.com/fp/3bdf7385c660bb4f0946020de8245959-p_e.jpg,True,/apartments/seattle-wa/village-vista-apartments/9VWWRh/,FOR_RENT,Village Vista Apartments,"5000 22nd Ave NE, Seattle, WA",5000 22nd Ave  NE Apt 406,Seattle,WA,98105,"[{'price': '$1,425+', 'beds': '1', 'roomForRent': False}, {'price': '$1,795+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.665268, 'longitude': -122.30415}",Village Vista Apartments,True,True,True,False,2.0,False,True,,,1795,,,2.0,,,,,,,,,,,,,,,47.665268,-122.30415,5,50.918727915194346
1. University District,343ncwx2crq3g,https://photos.zillowstatic.com/fp/af356142af54a0fff93052edda4fddd5-p_e.jpg,True,/apartments/seattle-wa/iro-apartments/5jDykL/,FOR_RENT,IRO Apartments,"5233 15th Ave NE, Seattle, WA",5233 15th Ave  NE Apt 306,Seattle,WA,98105,"[{'price': '$1,795+', 'beds': '2', 'roomForRent': False}, {'price': '$3,095+', 'beds': '3', 'roomForRent': False}]","{'latitude': 47.66739, 'longitude': -122.31223}",IRO Apartments,True,True,True,False,5.0,False,True,,,3095,,,3.0,,,,,,,,,,,,,,,47.66739,-122.31223,18,0.42402826855123976
1. University District,4ams0k2b1kava,https://photos.zillowstatic.com/fp/9b36d92b7a0142c732344f137e595be0-p_e.jpg,True,/apartments/seattle-wa/flow-eastlake/C4FLsV/,FOR_RENT,FLOW EASTLAKE,"3150 Fairview Ave E, Seattle, WA",3150 Fairview Ave E  # 101,Seattle,WA,98102,"[{'price': '$1,535+', 'beds': '1', 'roomForRent': False}, {'price': '$2,999+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.650238, 'longitude': -122.32333}",FLOW EASTLAKE,True,True,True,False,15.0,False,True,,,2999,,,2.0,,,,,,,,,,,,,,,47.650238,-122.32333,2,86.57243816254417
1. University District,42perur0q6n4c,https://photos.zillowstatic.com/fp/98a0c5c3ed7b6ebcdfabec683bc5f560-p_e.jpg,True,/apartments/seattle-wa/brooklyn-plaza/5jDzs6/,FOR_RENT,Brooklyn Plaza,"4106 Brooklyn Ave NE, Seattle, WA",4106 Brooklyn Ave NE # eaa797641,Seattle,WA,98105,"[{'price': '$1,950+', 'beds': '2', 'roomForRent': False}, {'price': '$2,750+', 'beds': '3', 'roomForRent': False}]","{'latitude': 47.657158, 'longitude': -122.31402}",Brooklyn Plaza,True,True,True,False,9.0,False,True,,,2750,,,3.0,,,,,,,,,,,,,,,47.657158,-122.31402,9,17.73851590106007
1. University District,phxhn7zppar1,https://photos.zillowstatic.com/fp/ad7e4563da808a91154fe8a6a811aa92-p_e.jpg,True,/apartments/seattle-wa/prexy/9VWWGc/,FOR_RENT,Prexy,"4737 Roosevelt Way NE, Seattle, WA",4737 Roosevelt Way NE # 505PATIO,Seattle,WA,98105,"[{'price': '$1,450+', 'beds': '1', 'roomForRent': False}, {'price': '$2,600+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.66425, 'longitude': -122.317726}",Prexy,True,True,True,False,5.0,False,True,,,2600,,,2.0,,,,,,,,,,,,,,,47.66425,-122.317726,4,62.3321554770318
1. University District,4gkrexbxg72x5,https://photos.zillowstatic.com/fp/3af9eb38a7eee18480c09917893b8bf5-p_e.jpg,True,/apartments/seattle-wa/lyla-eastlake-apartments/5jF24w/,FOR_RENT,LYLA Eastlake Apartments,"2600 Eastlake Ave E, Seattle, WA",2600 Eastlake Ave  E  Apt 205,Seattle,WA,98102,"[{'price': '$2,095+', 'beds': '1', 'roomForRent': False}, {'price': '$3,295+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.643448, 'longitude': -122.32549}",LYLA Eastlake Apartments,True,True,True,False,4.0,False,True,,,3295,,,2.0,,,,,,,,,,,,,,,47.643448,-122.32549,5,50.918727915194346
1. University District,4qrwba5ux7mt4,https://photos.zillowstatic.com/fp/780881686eed01ac1deb364da481fcab-p_e.jpg,True,/apartments/seattle-wa/washington-square-apartments/5jGCHG/,FOR_RENT,Washington Square Apartments,"4504 16th Ave NE, Seattle, WA",4504 16th Ave NE # 3B-1Ba-730Sqft,Seattle,WA,98105,"[{'price': '$2,000+', 'beds': '2', 'roomForRent': False}, {'price': '$2,600+', 'beds': '3', 'roomForRent': False}]","{'latitude': 47.661716, 'longitude': -122.31055}",Washington Square Apartments,True,True,True,False,6.0,False,True,,,2600,,,3.0,,,,,,,,,,,,,,,47.661716,-122.31055,2,86.57243816254417
